date;PM10;NO2;O3;SO2;PM25;CO
01/01/2019 00:30;29;3,37;15,43;0,74;;0,934
01/01/2019 01:30;24;3,19;15,13;0,75;;0,899
01/01/2019 02:30;18;2,81;14,53;0,74;14;0,925
01/01/2019 03:30;14;2,87;15,34;0,76;11;0,903
01/01/2019 04:30;11;2;15,14;0,7;9;0,665
01/01/2019 05:30;;3,58;40,82;1,75;;0,668
01/01/2019 06:30;;10,17;75,25;3,61;;0,686
01/01/2019 07:30;;16,38;139,75;6,33;;0,664
01/01/2019 08:30;5;18,49;137,41;6,19;;0,643
01/01/2019 09:30;5;13,64;133,75;5,89;4;0,649
01/01/2019 10:30;6;10,6;157,66;5,63;5;0,624
01/01/2019 11:30;9;9,77;152,19;5,51;;0,618
01/01/2019 12:30;7;8,28;159,29;5,64;6;0,587
01/01/2019 13:30;8;7,8;170,66;5,58;6;0,567
01/01/2019 14:30;6;12,72;171,59;5,9;;0,611
01/01/2019 15:30;7;8,62;151,05;5,91;;0,679
01/01/2019 16:30;13;9,15;151,68;5,92;11;0,625
01/01/2019 17:30;8;10,83;194,48;6,46;;0,603
01/01/2019 18:30;7;14,79;171,16;6,31;;0,634
01/01/2019 19:30;13;20,28;111,65;5,37;8;0,7
01/01/2019 20:30;8;15,14;83,57;3,88;;0,725
01/01/2019 21:30;15;13,06;61,7;3,02;;0,841
01/01/2019 22:30;17;9,31;38,18;1,75;9;0,932
01/01/2019 23:30;15;8,18;41,04;1,75;9;0,838
02/01/2019 00:30;9;2,84;18,17;;7;0,714
02/01/2019 01:30;7;2,76;15,75;;;0,723
02/01/2019 02:30;6;2,38;15,42;;;0,728
02/01/2019 03:30;;1,26;15,17;0,88;;0,643
02/01/2019 04:30;;1,47;14,1;0,88;;0,642
02/01/2019 05:30;10;5,42;31,1;2,08;8;0,673
02/01/2019 06:30;20;13,19;55;4,01;10;0,879
02/01/2019 07:30;27;28,24;102,7;6,75;12;0,999
02/01/2019 08:30;17;28,94;85,17;6,34;6;0,905
02/01/2019 09:30;;17,79;94,53;5,85;;0,693
02/01/2019 10:30;17;13,65;102,39;5,51;1;0,628
02/01/2019 11:30;9;14,98;128,73;5,51;3;0,623
02/01/2019 12:30;14;16,57;146,3;5,65;9;0,631
02/01/2019 13:30;;16,08;129,96;5,56;13;0,638
02/01/2019 14:30;20;;;;13;
02/01/2019 15:30;19;27,49;114,53;5,81;14;0,74
02/01/2019 16:30;;27,55;119,74;5,88;11;0,747
02/01/2019 17:30;20;24,31;158,08;6,44;15;0,687
02/01/2019 18:30;10;15,02;163,47;6,38;;0,618
02/01/2019 19:30;10;18,1;187,31;5,4;;0,751
02/01/2019 20:30;15;17,26;106,24;3,89;10;0,886
02/01/2019 21:30;29;15,43;70,93;3,02;14;0,989
02/01/2019 22:30;30;8,71;44,6;1,75;17;1,15
02/01/2019 23:30;38;7,41;53,45;1,75;17;1,342
03/01/2019 00:30;33;3,75;23,43;0,87;15;1,153
03/01/2019 01:30;;3,89;20,7;;;0,917
03/01/2019 02:30;11;3,3;19,62;;;0,738
03/01/2019 03:30;20;1,99;19,94;0,88;6;0,647
03/01/2019 04:30;11;1,73;18,55;0,88;7;0,638
03/01/2019 05:30;17;5,35;42,56;2,08;7;0,655
03/01/2019 06:30;27;11,95;77,65;3,99;13;0,901
03/01/2019 07:30;45;26,75;163,36;6,78;20;1,34
03/01/2019 08:30;31;30,7;142,33;6,43;21;1,352
03/01/2019 09:30;27;24,94;99,77;5,9;12;0,867
03/01/2019 10:30;21;20,64;90,13;5,56;10;0,793
03/01/2019 11:30;25;23,31;99,67;5,54;12;0,781
03/01/2019 12:30;28;27,1;137,27;5,69;20;0,826
03/01/2019 13:30;30;23,12;132,58;5,6;13;0,755
03/01/2019 14:30;19;20,83;134,05;5,8;12;0,737
03/01/2019 15:30;17;20,19;122,28;5,81;13;0,724
03/01/2019 16:30;21;20,99;115,95;5,85;13;0,697
03/01/2019 17:30;18;30,91;136,56;6,45;9;0,749
03/01/2019 18:30;31;45,17;106,99;6,32;14;0,911
03/01/2019 19:30;26;38,49;83,7;5,33;20;0,862
03/01/2019 20:30;19;28,93;59,48;3,85;15;0,882
03/01/2019 21:30;31;20,56;52,42;3;18;1,11
03/01/2019 22:30;32;12,07;31,11;1,74;24;1,159
03/01/2019 23:30;34;11,34;27,85;1,74;23;1,038
04/01/2019 00:30;29;5,21;14,44;;18;1,086
04/01/2019 01:30;33;4,82;15,26;;17;1,033
04/01/2019 02:30;21;4,37;15,06;;16;0,81
04/01/2019 03:30;30;4,15;18,44;0,87;13;0,856
04/01/2019 04:30;25;2,32;20,77;0,87;14;0,657
04/01/2019 05:30;12;5,34;50,81;2,07;7;0,644
04/01/2019 06:30;13;12,05;109,47;3,98;9;0,76
04/01/2019 07:30;;31,78;133,26;6,8;;0,827
04/01/2019 08:30;7;28,08;100,69;6,5;;0,811
04/01/2019 09:30;6;30,82;83,29;6,01;;0,871
04/01/2019 10:30;41;47,81;31,52;6,23;27;1,288
04/01/2019 11:30;24;;;;15;0,968
04/01/2019 12:30;27;;;;10;0,805
04/01/2019 13:30;20;15,93;100,43;5,65;9;0,672
04/01/2019 14:30;15;18,39;103,16;5,9;8;0,727
04/01/2019 15:30;9;18,26;93,04;5,88;6;0,729
04/01/2019 16:30;6;19,54;72,49;5,96;4;0,728
04/01/2019 17:30;;;;;;
04/01/2019 18:30;29;38,13;55,31;6,4;11;0,908
04/01/2019 19:30;25;39,73;33,75;5,49;18;0,997
04/01/2019 20:30;36;30,35;24,25;4,31;19;1,113
04/01/2019 21:30;31;21,15;21,94;3,05;22;1,111
04/01/2019 22:30;30;11,57;13,03;1,83;15;1,155
04/01/2019 23:30;39;10,61;14,74;1,87;21;1,362
05/01/2019 00:30;35;5,56;6,88;0,93;26;1,172
05/01/2019 01:30;27;4,89;6,68;0,98;14;1,144
05/01/2019 02:30;30;4,74;8,57;1,06;22;1,242
05/01/2019 03:30;36;4,34;8,43;1,09;17;1,241
05/01/2019 04:30;29;4,34;6,27;1,09;12;1,033
05/01/2019 05:30;27;9,18;16,72;2,67;15;0,928
05/01/2019 06:30;30;13,79;30,53;5,34;21;1,033
05/01/2019 07:30;37;28,75;60,6;9,05;18;1,292
05/01/2019 08:30;38;41,48;62,92;8,56;22;1,339
05/01/2019 09:30;26;49,3;62,07;7,88;20;1,194
05/01/2019 10:30;30;32,34;63,33;7,38;10;0,904
05/01/2019 11:30;27;32,22;104,43;8,24;17;0,858
05/01/2019 12:30;27;28,09;115,41;13,06;16;0,797
05/01/2019 13:30;23;22,51;112,38;14,42;16;0,74
05/01/2019 14:30;10;19,27;94,93;10,63;7;0,66
05/01/2019 15:30;9;12,83;84,7;8,4;4;0,624
05/01/2019 16:30;;11,79;83,75;7,83;2;0,63
05/01/2019 17:30;15;13,1;110,62;8,57;7;0,611
05/01/2019 18:30;12;14,82;110,41;8,41;10;0,634
05/01/2019 19:30;16;21,49;75,48;7,09;10;0,736
05/01/2019 20:30;17;19,48;46,33;5,13;16;0,913
05/01/2019 21:30;34;22,94;26,56;3,99;26;1,267
05/01/2019 22:30;40;12,79;14,45;2,32;26;1,301
05/01/2019 23:30;24;11,9;12,55;2,32;12;0,994
06/01/2019 00:30;17;4,75;7,69;;14;0,951
06/01/2019 01:30;32;5,08;9,18;1,16;26;1,186
06/01/2019 02:30;23;3,33;9,18;1,16;22;0,912
06/01/2019 03:30;20;2,29;9,1;1,17;12;0,747
06/01/2019 04:30;27;2,69;8,25;1,17;12;0,783
06/01/2019 05:30;22;7,95;17,79;2,77;16;0,796
06/01/2019 06:30;18;17,49;30,32;5,34;14;0,902
06/01/2019 07:30;19;30,57;53,93;9;10;0,905
06/01/2019 08:30;18;13,17;67,9;8,47;7;0,676
06/01/2019 09:30;12;7,46;74,67;7,81;6;0,62
06/01/2019 10:30;15;8,27;82,75;7,37;5;0,61
06/01/2019 11:30;14;8,91;88,07;7,35;7;0,595
06/01/2019 12:30;;7,33;86,38;7,52;6;0,575
06/01/2019 13:30;13;7,53;94,52;7,4;10;0,588
06/01/2019 14:30;11;7,66;95,72;7,68;8;0,567
06/01/2019 15:30;7;7,55;86,67;7,67;5;0,553
06/01/2019 16:30;;8,75;92,71;7,77;6;0,546
06/01/2019 17:30;11;10,2;98,44;8,51;5;0,57
06/01/2019 18:30;10;15,57;78,7;8,35;;0,639
06/01/2019 19:30;;22,84;62,11;7,09;7;0,762
06/01/2019 20:30;13;16,77;36,57;5,13;9;0,824
06/01/2019 21:30;;10,2;29,95;3,98;;0,774
06/01/2019 22:30;14;2,22;26,67;2,31;9;0,668
06/01/2019 23:30;18;1,75;27,05;2,31;7;0,649
07/01/2019 00:30;;0,68;13,03;;;0,631
07/01/2019 01:30;7;0,62;12,2;1,16;;0,628
07/01/2019 02:30;6;0,54;12,05;1,16;;0,626
07/01/2019 03:30;12;0,48;11,21;1,17;9;0,607
07/01/2019 04:30;6;1,5;10,08;1,17;5;0,658
07/01/2019 05:30;9;3,28;24,81;2,75;4;0,631
07/01/2019 06:30;;11,4;41,06;5,29;;0,745
07/01/2019 07:30;17;17,73;71,52;8,96;8;0,73
07/01/2019 08:30;19;18,17;71,58;8,45;;0,774
07/01/2019 09:30;15;16,47;75,08;7,8;12;0,732
07/01/2019 10:30;16;15,01;83,16;7,36;12;0,684
07/01/2019 11:30;12;10,06;107,14;7,34;10;0,62
07/01/2019 12:30;17;14,37;97,42;7,52;13;0,629
07/01/2019 13:30;;13,95;83,13;7,39;10;0,627
07/01/2019 14:30;15;13,83;85,47;7,67;10;0,599
07/01/2019 15:30;13;15,37;92,82;7,66;9;0,627
07/01/2019 16:30;15;20,64;101,54;7,79;5;0,706
07/01/2019 17:30;;28,02;105,13;8,51;8;0,754
07/01/2019 18:30;20;28,89;96,15;8,34;9;0,736
07/01/2019 19:30;13;19,8;78,13;7,05;;0,649
07/01/2019 20:30;10;9,39;45,94;5,1;;0,618
07/01/2019 21:30;12;4,97;36,79;3,97;9;0,615
07/01/2019 22:30;15;2,2;26,22;2,3;8;0,581
07/01/2019 23:30;12;2,87;28,93;2,31;8;0,604
08/01/2019 00:30;7;0,93;13,86;;5;0,599
08/01/2019 01:30;10;0,75;12,66;1,16;5;0,597
08/01/2019 02:30;8;0,48;12,14;1,16;7;0,606
08/01/2019 03:30;9;0,57;12,28;1,17;;0,612
08/01/2019 04:30;14;0,78;11,22;1,17;9;0,618
08/01/2019 05:30;22;3,89;28,05;2,76;17;0,681
08/01/2019 06:30;20;14,92;44,88;5,31;13;0,788
08/01/2019 07:30;15;13,38;70,6;8,97;8;0,679
08/01/2019 08:30;8;9,11;68,24;8,47;6;0,629
08/01/2019 09:30;17;11,16;80,17;7,81;11;0,671
08/01/2019 10:30;10;11,64;90,92;7,37;6;0,634
08/01/2019 11:30;14;10,66;108,42;7,3;;0,627
08/01/2019 12:30;;10,93;124,83;7,54;14;0,617
08/01/2019 13:30;16;9,63;135,73;7,42;11;0,584
08/01/2019 14:30;14;18,22;148,41;7,73;11;0,642
08/01/2019 15:30;;13,64;149,94;7,69;8;0,577
08/01/2019 16:30;18;16,67;152,66;7,84;12;0,615
08/01/2019 17:30;20;19,12;152,68;8,58;10;0,633
08/01/2019 18:30;23;25,47;126,67;8,42;13;0,699
08/01/2019 19:30;22;18,02;93,12;7,1;11;0,641
08/01/2019 20:30;14;12,59;62,51;5,13;;0,652
08/01/2019 21:30;18;6,84;46,21;3,99;10;0,632
08/01/2019 22:30;15;3,1;25,51;2,31;8;0,63
08/01/2019 23:30;11;2,06;24,87;2,32;;0,618
09/01/2019 00:30;13;0,72;11,71;;9;0,606
09/01/2019 01:30;13;0,8;11,39;;11;0,614
09/01/2019 02:30;11;0,67;10,47;1,16;9;0,609
