date;PM10;NO2;O3;SO2;PM25;CO;TEMP;DV;PP;PA;VV;RS;UR;NOx;NO
01/01/2019 00:30;29;3,37;15,43;0,74;;0,934;20,05;33,75;0;911,75;0,28;0;90;;
01/01/2019 01:30;24;3,19;15,13;0,75;;0,899;19,76;40,44;0;911,42;0,38;0;91;;
01/01/2019 02:30;18;2,81;14,53;0,74;14;0,925;19,69;114,7;0;911,39;0,31;0;91;;
01/01/2019 03:30;14;2,87;15,34;0,76;11;0,903;20,25;26,4;0;911,44;0,81;0;89;;
01/01/2019 04:30;11;2;15,14;0,7;9;0,665;20,32;36,08;1,6;911,92;1,09;0;87;;
01/01/2019 05:30;;3,58;40,82;1,75;;0,668;19,57;23,82;0,2;912,56;1,92;0;93;;
01/01/2019 06:30;;10,17;75,25;3,61;;0,686;19,17;3,53;8,6;913,43;1,56;0,79;95;;
01/01/2019 07:30;;16,38;139,75;6,33;;0,664;19,2;74,79;0,4;914,25;0,65;23,85;96;;
01/01/2019 08:30;5;18,49;137,41;6,19;;0,643;19,58;40,6;2,2;914,85;0,57;57,58;96;;
01/01/2019 09:30;5;13,64;133,75;5,89;4;0,649;19,64;23,36;2,8;915,34;0,94;87,1;95;;
01/01/2019 10:30;6;10,6;157,66;5,63;5;0,624;20,53;80,11;0,4;915,56;0,79;251,22;94;;
01/01/2019 11:30;9;9,77;152,19;5,51;;0,618;23,5;19,07;0;915,13;0,97;597,25;80;;
01/01/2019 12:30;7;8,28;159,29;5,64;6;0,587;26,04;13,49;0;914,6;1,57;867,19;66;;
01/01/2019 13:30;8;7,8;170,66;5,58;6;0,567;27,34;341,19;0;914,08;1,85;539,99;62;;
01/01/2019 14:30;6;12,72;171,59;5,9;;0,611;22,13;334,25;0,2;914,03;2,66;204,29;81;;
01/01/2019 15:30;7;8,62;151,05;5,91;;0,679;23,55;313,12;0;913,1;1,39;346,64;73;;
01/01/2019 16:30;13;9,15;151,68;5,92;11;0,625;27,24;83,03;0;912,69;1,39;638,15;60;;
01/01/2019 17:30;8;10,83;194,48;6,46;;0,603;27,65;128,23;0;912,28;2,07;431,79;60;;
01/01/2019 18:30;7;14,79;171,16;6,31;;0,634;26,12;120,9;0;912,3;1,79;203,5;64;;
01/01/2019 19:30;13;20,28;111,65;5,37;8;0,7;23,6;133,92;0;913,23;1,18;11,21;71;;
01/01/2019 20:30;8;15,14;83,57;3,88;;0,725;22,53;222,88;0;913,71;0,52;0;77;;
01/01/2019 21:30;15;13,06;61,7;3,02;;0,841;21,63;252,48;0;914,18;0,38;0;83;;
01/01/2019 22:30;17;9,31;38,18;1,75;9;0,932;21,45;217,13;0;914,59;0,32;0;86;;
01/01/2019 23:30;15;8,18;41,04;1,75;9;0,838;21,55;149,1;0;915,02;0,49;0;86;;
02/01/2019 00:30;9;2,84;18,17;;7;0,714;21,06;175,84;0;914,48;0,27;0;87;;
02/01/2019 01:30;7;2,76;15,75;;;0,723;20,55;278,08;0;913,46;0,71;0;87;;
02/01/2019 02:30;6;2,38;15,42;;;0,728;19,99;175,28;0;913,11;0,27;0;89;;
02/01/2019 03:30;;1,26;15,17;0,88;;0,643;19,77;218,99;0;913,01;0,29;0;89;;
02/01/2019 04:30;;1,47;14,1;0,88;;0,642;19,38;257,68;0;913,06;0,34;0;91;;
02/01/2019 05:30;10;5,42;31,1;2,08;8;0,673;19,21;313,63;0;913,48;0,57;0;92;;
02/01/2019 06:30;20;13,19;55;4,01;10;0,879;19,2;312,79;0;913,97;0,45;6,22;91;;
02/01/2019 07:30;27;28,24;102,7;6,75;12;0,999;21,9;314,02;0;914,62;0,92;177,34;81;;
02/01/2019 08:30;17;28,94;85,17;6,34;6;0,905;26,25;124,56;0;915,28;1,25;395,98;60;;
02/01/2019 09:30;;17,79;94,53;5,85;;0,693;27,11;99,02;0;915,59;1,62;617,65;57;;
02/01/2019 10:30;17;13,65;102,39;5,51;1;0,628;28,57;90,69;0;915,96;1,53;794,83;53;;
02/01/2019 11:30;9;14,98;128,73;5,51;3;0,623;28,72;26,24;0;915,51;1,98;763,69;54;;
02/01/2019 12:30;14;16,57;146,3;5,65;9;0,631;29,5;68,6;0;914,75;2,02;864,33;51;;
02/01/2019 13:30;;16,08;129,96;5,56;13;0,638;30,38;17,7;0;913,97;2,44;825,21;47;;
02/01/2019 14:30;20;;;;13;;29,38;107,34;0;912,84;2,14;480,66;49;;
02/01/2019 15:30;19;27,49;114,53;5,81;14;0,74;29,14;19,65;0;912,58;1,35;172,28;49;;
02/01/2019 16:30;;27,55;119,74;5,88;11;0,747;29,47;354,89;0;911,85;1,49;284,57;50;;
02/01/2019 17:30;20;24,31;158,08;6,44;15;0,687;28,86;264,92;0;911,62;1,21;170;53;;
02/01/2019 18:30;10;15,02;163,47;6,38;;0,618;24,3;200,79;6;912,17;2,99;31,99;71;;
02/01/2019 19:30;10;18,1;187,31;5,4;;0,751;21,95;240,5;0,4;912,67;1,85;2,44;87;;
02/01/2019 20:30;15;17,26;106,24;3,89;10;0,886;22,14;286,45;0;912,83;1,08;0;84;;
02/01/2019 21:30;29;15,43;70,93;3,02;14;0,989;21,76;267,89;0;913,25;0,45;0;86;;
02/01/2019 22:30;30;8,71;44,6;1,75;17;1,15;21,78;180,73;0;913,73;0,26;0;86;;
02/01/2019 23:30;38;7,41;53,45;1,75;17;1,342;21,87;287,26;0;913,81;0,29;0;88;;
03/01/2019 00:30;33;3,75;23,43;0,87;15;1,153;21,45;282,56;0;913,32;0,33;0;88;;
03/01/2019 01:30;;3,89;20,7;;;0,917;21,05;176,13;0;912,58;0,31;0;89;;
03/01/2019 02:30;11;3,3;19,62;;;0,738;20,86;138,18;0;911,96;0,34;0;89;;
03/01/2019 03:30;20;1,99;19,94;0,88;6;0,647;20,45;150,15;0;911,71;0,25;0;90;;
03/01/2019 04:30;11;1,73;18,55;0,88;7;0,638;20,22;139,66;0;911,77;0,26;0;91;;
03/01/2019 05:30;17;5,35;42,56;2,08;7;0,655;20,08;289,94;0;912,27;0,27;0;92;;
03/01/2019 06:30;27;11,95;77,65;3,99;13;0,901;20,1;277,42;0;912,9;0,32;7,11;92;;
03/01/2019 07:30;45;26,75;163,36;6,78;20;1,34;21,32;307,21;0;913,38;0,37;34,74;88;;
03/01/2019 08:30;31;30,7;142,33;6,43;21;1,352;22,89;91,83;0;913,64;0,52;103,62;79;;
03/01/2019 09:30;27;24,94;99,77;5,9;12;0,867;24,47;49,28;0;913,99;0,96;188,8;69;;
03/01/2019 10:30;21;20,64;90,13;5,56;10;0,793;26;6,93;0;914,07;1,4;363,77;62;;
03/01/2019 11:30;25;23,31;99,67;5,54;12;0,781;27,11;356,24;0;913,84;2,04;467,92;58;;
03/01/2019 12:30;28;27,1;137,27;5,69;20;0,826;27,19;339,41;0;913,41;1,73;346,54;60;;
03/01/2019 13:30;30;23,12;132,58;5,6;13;0,755;28,21;339,11;0;912,73;1,81;454,12;56;;
03/01/2019 14:30;19;20,83;134,05;5,8;12;0,737;29,68;338,18;0;911,91;2,34;693,95;51;;
03/01/2019 15:30;17;20,19;122,28;5,81;13;0,724;29,06;338,08;0;911,22;2,55;455,71;51;;
03/01/2019 16:30;21;20,99;115,95;5,85;13;0,697;30,99;348,42;0;910,5;2,46;611,88;47;;
03/01/2019 17:30;18;30,91;136,56;6,45;9;0,749;28,46;7,47;0;910,26;1,49;124,44;54;;
03/01/2019 18:30;31;45,17;106,99;6,32;14;0,911;27,19;34,53;0;910,28;1,37;61,42;56;;
03/01/2019 19:30;26;38,49;83,7;5,33;20;0,862;25,74;27,43;0;910,89;1,02;6,17;61;;
03/01/2019 20:30;19;28,93;59,48;3,85;15;0,882;24,61;150,34;0;911,49;0,55;0;67;;
03/01/2019 21:30;31;20,56;52,42;3;18;1,11;23,97;247,6;0;912;0,88;0;71;;
03/01/2019 22:30;32;12,07;31,11;1,74;24;1,159;23,84;282,01;0;912,7;0,55;0;72;;
03/01/2019 23:30;34;11,34;27,85;1,74;23;1,038;23,22;240,69;0;912,84;0,35;0;73;;
04/01/2019 00:30;29;5,21;14,44;;18;1,086;23,35;279,43;0;912,41;0,5;0;73;;
04/01/2019 01:30;33;4,82;15,26;;17;1,033;23,14;273,45;0;911,87;0,57;0;75;;
04/01/2019 02:30;21;4,37;15,06;;16;0,81;23,05;318,69;0;911,21;0,46;0;74;;
04/01/2019 03:30;30;4,15;18,44;0,87;13;0,856;22,79;350,93;0;911,19;0,84;0;78;;
04/01/2019 04:30;25;2,32;20,77;0,87;14;0,657;22,17;65,81;0;911,78;0,65;0;82;;
04/01/2019 05:30;12;5,34;50,81;2,07;7;0,644;21,47;120,25;0,6;912,3;0,85;0;86;;
04/01/2019 06:30;13;12,05;109,47;3,98;9;0,76;20,77;230,45;7,8;913,32;1,05;0;91;;
04/01/2019 07:30;;31,78;133,26;6,8;;0,827;19,6;32,58;3;914,5;2,11;4,58;94;;
04/01/2019 08:30;7;28,08;100,69;6,5;;0,811;18,68;268,42;1,8;915,22;1,04;31,63;94;;
04/01/2019 09:30;6;30,82;83,29;6,01;;0,871;18,92;284,17;0,2;914,87;1,04;119,07;92;;
04/01/2019 10:30;41;47,81;31,52;6,23;27;1,288;20,61;333,79;0;914,58;1,69;196,02;84;;
04/01/2019 11:30;24;;;;15;0,968;21,43;333,86;0,2;914,5;1,2;237,32;81;;
04/01/2019 12:30;27;;;;10;0,805;23,73;335,23;0;913,92;2,9;611,9;71;;
04/01/2019 13:30;20;15,93;100,43;5,65;9;0,672;25,07;335,28;0;913,98;3,28;676,79;66;;
04/01/2019 14:30;15;18,39;103,16;5,9;8;0,727;24,82;336,57;0;913,26;2,96;501,68;64;;
04/01/2019 15:30;9;18,26;93,04;5,88;6;0,729;25,37;337,12;0;912,17;2,75;512,45;61;;
04/01/2019 16:30;6;19,54;72,49;5,96;4;0,728;25,38;340,87;0;911,03;2,76;340,33;56;;
04/01/2019 17:30;;;;;;;;;;;;;;;
04/01/2019 18:30;29;38,13;55,31;6,4;11;0,908;23,86;345,79;0;911,05;1,38;49,15;59;;
04/01/2019 19:30;25;39,73;33,75;5,49;18;0,997;22,98;339,83;0;911,57;1,28;2,25;62;;
04/01/2019 20:30;36;30,35;24,25;4,31;19;1,113;22,55;344,8;0;911,99;0,81;0;66;;
04/01/2019 21:30;31;21,15;21,94;3,05;22;1,111;21,9;93,16;0;912,96;0,28;0;73;;
04/01/2019 22:30;30;11,57;13,03;1,83;15;1,155;21,57;232,9;0;913,48;0,31;0;76;;
04/01/2019 23:30;39;10,61;14,74;1,87;21;1,362;21,31;305,44;0;913,27;0,86;0;78;;
05/01/2019 00:30;35;5,56;6,88;0,93;26;1,172;21,27;306,86;0;912,79;0,83;0;77;;
05/01/2019 01:30;27;4,89;6,68;0,98;14;1,144;20,6;40,54;0;912,17;0,36;0;81;;
05/01/2019 02:30;30;4,74;8,57;1,06;22;1,242;20,54;326,69;0;911,67;0,43;0;84;;
05/01/2019 03:30;36;4,34;8,43;1,09;17;1,241;20,46;307,65;0;911,49;0,59;0;85;;
05/01/2019 04:30;29;4,34;6,27;1,09;12;1,033;20,01;285,22;0;911,32;0,51;0;83;;
05/01/2019 05:30;27;9,18;16,72;2,67;15;0,928;19,58;129,66;0;911,79;0,65;0;86;;
05/01/2019 06:30;30;13,79;30,53;5,34;21;1,033;19,07;324,24;0;912,19;0,3;16,89;89;;
05/01/2019 07:30;37;28,75;60,6;9,05;18;1,292;20,14;320,33;0;912,66;0,24;80,75;87;;
05/01/2019 08:30;38;41,48;62,92;8,56;22;1,339;22,29;347,08;0;912,87;0,41;182,46;75;;
05/01/2019 09:30;26;49,3;62,07;7,88;20;1,194;24,15;324,49;0;913,3;0,53;316,96;67;;
05/01/2019 10:30;30;32,34;63,33;7,38;10;0,904;27,32;342,82;0;913,63;1,04;636,96;53;;
05/01/2019 11:30;27;32,22;104,43;8,24;17;0,858;27,77;336,25;0;913,6;1,7;576,74;52;;
05/01/2019 12:30;27;28,09;115,41;13,06;16;0,797;27,97;330,72;0;913,1;2,05;644,47;52;;
05/01/2019 13:30;23;22,51;112,38;14,42;16;0,74;28,54;333,25;0;912,55;2,02;728,61;50;;
05/01/2019 14:30;10;19,27;94,93;10,63;7;0,66;30,02;337,37;0;911,56;2,06;779,46;44;;
